,Title,Published_date,Views,Likes,Comments
0,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,1140,48,18
1,A Data Dream Come True,2023-11-17,1674,81,23
2,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,5494,371,74
3,How to Survive a Down Data Job Market,2023-09-05,16249,536,63
4,The Harsh Reality of the Data Job Market,2023-08-24,105288,2564,295
5,7 Industries AI will Aggressively Disrupt,2023-08-14,5808,236,41
6,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4022,125,47
7,7 Enticing Jobs AI Will Create,2023-07-24,4518,193,36
8,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4021,143,31
9,Exciting Announcement!,2023-06-23,6566,295,50
10,AI: A Customer Service Revolution?,2023-05-26,3796,120,35
11,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,31132,1050,59
12,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,32828,1390,77
13,This AI question will determine our future,2023-04-06,4253,261,37
14,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70953,828,79
15,Your current portfolio is actually hurting you #shorts,2023-03-30,7018,414,7
16,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,6993,383,4
17,you're job searching wrong. #shorts,2023-03-23,4159,252,3
18,The Economics of Data Roles #shorts,2023-03-21,8448,538,11
19,Why your phone knows everything you say #shorts,2023-03-18,2873,129,7
20,Read these for a successful career. #shorts,2023-03-16,3018,243,2
21,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2442,44,5
22,How I Realized I Was a Bad Manager #shorts,2023-03-07,2671,128,1
23,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20249,759,51
24,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7967,266,13
25,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2621,163,2
26,Learning On the companies dime #shorts,2023-02-24,3096,173,1
27,The Best Way to Transition to Data Science? #shorts,2023-02-21,4067,254,6
28,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6857,396,6
29,Don't Go into Data for the Money #shorts,2023-02-15,3743,219,12
30,First Data Science Project? Watch This.,2023-02-13,6888,348,22
31,How to Approach Applying for a Data Role #shorts,2023-02-08,3660,243,7
32,The Hard Reality of Data Science Work #shorts,2023-02-06,15039,835,14
33,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4576,192,6
34,These 3 Things Make Data Science Special #shorts,2023-02-01,4219,337,7
35,Will Data Science Be Automated? #shorts,2023-01-27,9348,402,8
36,Is Data Science A Good Fit For You? #shorts,2023-01-25,5069,291,11
37,5 Books I Wish I Read Earlier In My Career,2023-01-23,9257,517,50
38,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,7194,611,13
39,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6256,472,10
40,How long does it take to become a Data Scientist? #shorts,2023-01-12,6616,487,6
41,Where & how to start your Data Science Journey #shorts,2023-01-09,6779,414,2
